
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 29-Oct-2025 at 22:26:08.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    2.3250   9.9021295E+05   1.4058985E+06   9.8877759E+05   7.8973496E+05   1.2137455E+06   7.8725956E+05
    2.3375   9.9063683E+05   1.4051799E+06   9.8926305E+05   7.9014796E+05   1.2129924E+06   7.8784586E+05
    2.3500   9.9106934E+05   1.4044417E+06   9.8975290E+05   7.9057229E+05   1.2122073E+06   7.8845036E+05
    2.3625   9.9150974E+05   1.4036846E+06   9.9024667E+05   7.9100779E+05   1.2113915E+06   7.8907159E+05
    2.3750   9.9195732E+05   1.4029091E+06   9.9074408E+05   7.9145429E+05   1.2105464E+06   7.8970802E+05
    2.3875   9.9241145E+05   1.4021154E+06   9.9124504E+05   7.9191162E+05   1.2096734E+06   7.9035806E+05
    2.4000   9.9287139E+05   1.4013040E+06   9.9174962E+05   7.9237963E+05   1.2087740E+06   7.9102015E+05
    2.4125   9.9333678E+05   1.4004739E+06   9.9225846E+05   7.9285820E+05   1.2078494E+06   7.9169275E+05
    2.4250   9.9380694E+05   1.3996250E+06   9.9277211E+05   7.9334723E+05   1.2069008E+06   7.9237437E+05
    2.4375   9.9428136E+05   1.3987565E+06   9.9329149E+05   7.9384664E+05   1.2059292E+06   7.9306365E+05
    2.4500   9.9475947E+05   1.3978678E+06   9.9381759E+05   7.9435639E+05   1.2049355E+06   7.9375930E+05
    2.4625   9.9524068E+05   1.3969580E+06   9.9435139E+05   7.9487641E+05   1.2039205E+06   7.9446017E+05
    2.4750   9.9572439E+05   1.3960268E+06   9.9489382E+05   7.9540662E+05   1.2028848E+06   7.9516519E+05
    2.4875   9.9620996E+05   1.3950736E+06   9.9544564E+05   7.9594691E+05   1.2018291E+06   7.9587342E+05
    2.5000   9.9669676E+05   1.3940985E+06   9.9600738E+05   7.9649708E+05   1.2007538E+06   7.9658398E+05
    2.5125   9.9718416E+05   1.3931015E+06   9.9657927E+05   7.9705687E+05   1.1996596E+06   7.9729609E+05
    2.5250   9.9767127E+05   1.3920841E+06   9.9716094E+05   7.9762589E+05   1.1985469E+06   7.9800897E+05
    2.5375   9.9815784E+05   1.3910460E+06   9.9775229E+05   7.9820365E+05   1.1974165E+06   7.9872190E+05
    2.5500   9.9864307E+05   1.3899891E+06   9.9835233E+05   7.9878953E+05   1.1962691E+06   7.9943414E+05
    2.5625   9.9912655E+05   1.3889146E+06   9.9896015E+05   7.9938281E+05   1.1951056E+06   8.0014496E+05
    2.5750   9.9960780E+05   1.3878239E+06   9.9957450E+05   7.9998264E+05   1.1939269E+06   8.0085360E+05
    2.5875   1.0000864E+06   1.3867186E+06   1.0001940E+06   8.0058808E+05   1.1927341E+06   8.0155930E+05
    2.6000   1.0005621E+06   1.3856004E+06   1.0008174E+06   8.0119811E+05   1.1915284E+06   8.0226127E+05
    2.6125   1.0010347E+06   1.3844708E+06   1.0014431E+06   8.0181167E+05   1.1903111E+06   8.0295876E+05
    2.6250   1.0015039E+06   1.3833312E+06   1.0020698E+06   8.0242764E+05   1.1890832E+06   8.0365105E+05
    2.6375   1.0019699E+06   1.3821827E+06   1.0026965E+06   8.0304489E+05   1.1878461E+06   8.0433748E+05
    2.6500   1.0024322E+06   1.3810273E+06   1.0033215E+06   8.0366230E+05   1.1866009E+06   8.0501746E+05
    2.6625   1.0028915E+06   1.3798646E+06   1.0039444E+06   8.0427877E+05   1.1853485E+06   8.0569053E+05
    2.6750   1.0033478E+06   1.3786960E+06   1.0045641E+06   8.0489323E+05   1.1840899E+06   8.0635637E+05
    2.6875   1.0038015E+06   1.3775214E+06   1.0051800E+06   8.0550463E+05   1.1828257E+06   8.0701479E+05
    2.7000   1.0042531E+06   1.3763414E+06   1.0057913E+06   8.0611198E+05   1.1815567E+06   8.0766573E+05
    2.7125   1.0047029E+06   1.3751561E+06   1.0063973E+06   8.0671432E+05   1.1802833E+06   8.0830929E+05
    2.7250   1.0051513E+06   1.3739657E+06   1.0069975E+06   8.0731074E+05   1.1790057E+06   8.0894566E+05
    2.7375   1.0055989E+06   1.3727708E+06   1.0075910E+06   8.0790037E+05   1.1777244E+06   8.0957512E+05
    2.7500   1.0060457E+06   1.3715718E+06   1.0081769E+06   8.0848237E+05   1.1764394E+06   8.1019799E+05
